Code,Legal Name,Business Name,Status,ABN,ACN,RTO Type,Web Address,Registration Manager,Legal Authority,Initial Registration Date,Start Date,End Date,Address,Chief Executive Contact Name,Chief Executive Emails,Chief Executive Title,Chief Executive Phone,Public Enquiries Contact Name,Public Enquiries Contact Title,Public Enquiries Email,Public Enquiries Phone,Registration Enquiries Contact Name,Registration Enquiries Title,Registration Enquiries Email,Registration Enquiries Phone,Qualifications,Courses
31564,ILSC (Brisbane) Pty Ltd,Greystone College;ILSC - AUSTRALIA;ILSC - BRISBANE;ILSC Adelaide;ILSC Education Group;ILSC Melbourne;ILSC Perth;ILSC Sydney,Current,66090845239.0,90845239.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.ilsc.com,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,28/11/2007,01/06/2019,31/05/2026,"Suite 1 Level 1, 232 Adelaide Street, BRISBANE CITY, QLD, 4000",Mr Lucas Papazian Chiusoli,lucas.chiusoli@ilsc.com.au,0292471744,0292471744,Ms. Illa Jo,Global Sales Director,Illa.Jo@ilsc.com.au,0422222420,Ms. Yuriko Sakai,National Registrations Manager,Yuriko.Sakai@ilac.com.au,+61732200144,,
31566,Collective Learning and Development Pty Ltd,Collective Learning and Development Pty Ltd,Current,86093502491.0,93502491.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.collectivelearning.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/11/2007,27/03/2025,26/03/2032,"10 Browning St, SOUTH BRISBANE, QLD, 4101",Thomas Beregi,info@creditcorp.com.au,,1800221414,Ms. Olivia Elder,RTO Manager,olivia@collectivelearning.com.au,0404217942,Mrs. Laura Herman,Head of Collective Learning and Development,enquiries@collectivelearning.com.au,0732921006,,
31568,Safetec Enterprises Pty Ltd,Safetec Australia,Current,22108371320.0,108371320.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,10/06/2008,01/07/2025,30/06/2032,"40 Matthew Flinders Drive, Cooee Bay, QLD, 4703",Mr Daniel Stevens,safetec1@bigpond.net.au,0417733615,0749250744,Mr Daniel Stevens,Director,safetec1@bigpond.net.au,0749250744,Mr Daniel Stevens,Director,safetec1@bigpond.net.au,0749250744,,
31579,Seed Skills Pty Ltd,Seed Skills Pty Ltd,Current,99126457458.0,126457458.0,Industry Association,http://www.seedskills.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,09/11/2007,01/12/2018,30/11/2025,"Suite 1 Level 19 241 Adelaide St, BRISBANE CITY, QLD, 4000",Mr. Trevor Torrens,trevor@seedskills.edu.au,0435895928,0435895928,Mrs Samantha McCartney,Online Learning Lead,info@seedskills.edu.au,0403792526,Mrs Samantha McCartney,Online Learning Lead,info@seedskills.edu.au,0403792526,,
31588,Neil Irvine Management Pty Ltd as trustee for The Irvine Family Trust,APS Training Group,Current,28764731951.0,124367844.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.apstraining.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,06/05/2008,06/05/2025,05/05/2032,"937 Burnett Heads Rd, RUBYANNA, QLD, 4670",Mr Neil Irvine,ceo@apstraining.com.au,0408796979,1300880604,Mrs. Jean Pilcher,Administration,admin@apstraining.com.au,1300880604,Mrs. Jean Pilcher,Administration,admin@apstraining.com.au,1300880604,,
31589,AB Quality Homes Pty Ltd,Diggerman Training,Current,35111341621.0,111341621.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.diggermantraining.com.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,07/02/2008,01/06/2019,31/05/2026,"13 Junction Drive, Coolum Beach, QLD, 4573",Mr. Richard Gordon Burke,bgburke@outlook.com,0411322959,753511811,Mr. Gordon Richard Burke,RTO Manager,bgburke@outlook.com,0432379519,Mr. Gordon Richard Burke,RTO Manager,bgburke@outlook.com,0432379519,,
31595,Australian Training School Pty Ltd,Southern Academy of Business and Technology,Current,33126582232.0,126582232.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.sabt.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,22/12/2007,19/10/2024,18/10/2031,"Level 2 95 Bathurst St, SYDNEY, NSW, 2000",Mr Man Bahadur Khatri,manakc@gmail.com,0403135375,1300852205,,,info@sabt.edu.au,1300852205,Mr Man Bahadur Khatri,Director,manakc@gmail.com,1300852205,,
31600,Plumpton Training Services Pty Ltd,Plumpton Training Services Pty Ltd,Current,97011029986.0,11029986.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.plumptongroup.com,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,17/01/2008,01/09/2018,31/08/2025,"Office 1B 216 Harbour Rd, MACKAY HARBOUR, QLD, 4740",Mr Robert Henry Plumpton,bob.plumpton@plumptongroup.com,417196314,0749510041,,,training@plumptongroup.com,0749510041,Mr Robert Henry Plumpton,CEO,training@plumptongroup.com,0749510041,,
31607,Servir Group Pty Ltd,CTA Training;CTA Training Specialists,Current,50113985247.0,113985247.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.clubtraining.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,21/09/2007,21/09/2024,20/09/2031,"55 Holland St, NORTHGATE, QLD, 4013",Mr John Dickson,john@dws.net.au,0417721942,0738789355,Mrs. Erin Powell,Compliance Manager,erin@ctatraining.com.au,0738788977,Mr. Aaron Bray,General Manager,aaron@ctatraining.com.au,0738788977,,
31624,AUSTRALIAN TEACHERS OF DANCING LIMITED,,Current,39051244510.0,51244510.0,Industry Association,http://www.atod.net.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,10/12/2007,10/12/2024,08/12/2031,"Suite 12 3990-3992 Pacific Hwy, LOGANHOLME, QLD, 4129",Leah Belford,president@atod.net.au,0417621375,1800106227,Mrs Elaine Bartley,RTO Manager,rto@atod.net.au,1800106227,Mrs Elaine Bartley,RTO Manager,rto@atod.net.au,1800106227,,
31628,The Baptist Union of Queensland - Carinity,,Current,46909844617.0,,School - Independent,http://www.glendyne.qld.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,13/09/2007,12/09/2022,31/12/2028,"PO Box 6164, MITCHELTON, QLD, 4053",Mr. Dale Hansen,dale.hansen@carinity.qld.edu.au,0741286199,0741286199,Leslie Allan,General Enquiries,leslie.allan@carinity.qld.edu.au,0741286199,Mrs Rebecca Sutcliffe-Carey,Registration enquiries,rebecca.carey@carinity.qld.edu.au,0741286199,,
31633,Airways Aviation Education Pty Ltd,Airways Aviation;Airways Aviation Education;Chopperline Flight Training;Coastline Flight Training,Current,47010949167.0,10949167.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.airwaysaviation.com,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,22/10/2007,21/02/2024,20/02/2031,"Hangar 51, Lores Bonney Circuit, Bilinga, QLD, 4225",Janet Pauline Dalby,j.dalby@airwaysaviation.com,0407391402,0755993445,,,studentservices.au@airwaysaviation.com,0755993445,Janet Dalby,CEO,j.dalby@airwaysaviation.com,0755993445,,
31634,CRUMPS INTERNATIONAL PTY LTD,ELSTON EDUCATION & TRAINING;English in Paradise,Current,97100506572.0,100506572.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.eip.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,07/03/2008,19/07/2025,18/07/2032,"Level 5, 50 Appel St, SURFERS PARADISE, QLD, 4217",Mr Shaun O'Connor,jo@eip.edu.au,417858212,755706313,Mr Robert Ivey,Director of Studies,rob@eip.edu.au,0430054240,Mrs Jo O'Connor,Administration Coordinator,jo@eip.edu.au,406772959,,
31635,Finance and Related Services Training Academy Pty Ltd,F.A.R.S.T.A.,Current,38104554725.0,104554725.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.farsta.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,23/12/2007,23/12/2024,21/12/2031,"Shop 1 6 Main St, SAMFORD VILLAGE, QLD, 4520",Mrs. Leah Vassar Hudson,leah@farsta.com.au,0419655248,1300327782,Mrs Vanessa Spotswood,Student Support,admin@farsta.com.au,1300327782,Mr John Hudson,Student Support/Office Manager,john@farsta.com.au,1300327782,,
31642,Australian Careers College Pty Ltd,,Current,68126326850.0,126326850.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.accollege.edu.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,07/02/2008,07/02/2025,06/02/2032,"Unit 1 48 Woods St, DARWIN, NT, 0800",Mr Jason Jia Bao Foo,jason.foo@accollege.edu.au,452452485,0452452485,Mr Jason Jia Bao Foo,Chief Executive Officer,jason.foo@accollege.edu.au,0452452485,Mr Jason Jia Bao Foo,Chief Executive Officer,jason.foo@accollege.edu.au,0452452485,,
31645,Canterbury Technical Institute Pty Ltd,Canterbury Technical Institute Pty Ltd,Current,61128149324.0,128149324.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.cti.qld.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,26/03/2008,01/10/2018,30/09/2025,"Level 1, 333 Adelaide St, BRISBANE, QLD, 4000",Mr Shailendra (Nick) Kumar,nick@usqsydney.nsw.edu.au,,(07)31234055,Mr Rahul Fernandes,Principal Executive Officer,rahul@cti.qld.edu.au,(07)31234055,Mr Rahul Fernandes,Principal Executive Officer,rahul@cti.qld.edu.au,(07)31234055,,
31651,Practice Management Solutions Pty Ltd,Maritime Career Training;Superyacht Career Training,Current,17089464817.0,89464817.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.superyachtcareers.com,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/07/2008,01/11/2018,31/10/2025,"21 Songbird Pl, MOOLOOLAH VALLEY, QLD, 4553",Mr Barry Leslie Barnes,bb@stcw95.net,0418243042,0418243042,Mr Paul Lesslie Barnes,Manager,pb@stcw95.net,0438303714,Mr Barry Leslie Barnes,Managing Director,bb@superyachtcareers.com,0418243042,,
31652,Adore Education Pty Ltd,Vibe College,Current,66088173433.0,88173433.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.vibecollege.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,17/03/2008,01/04/2025,31/03/2032,"Level 3/288 Edward St, BRISBANE CITY, QLD, 4000",Mr Bikash Pandey,bikash@vibecollege.edu.au,0422884735,0730886644,,,info@vibecollege.edu.au,0730886644,Mrs Dimity Chenery,Head of Compliance,dimity@vibecollege.edu.au,0730886644,,
31660,AFFORDABLE INDUSTRY TRAINING PTY LTD,AFFORDABLE TRUCK SCHOOL,Current,31618781687.0,618781687.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.affordableindustrytraining.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,15/05/2008,01/07/2025,29/06/2032,"61 Kirby Rd, ASPLEY, QLD, 4034",Mr Jason Alexander Vinter,ceo@affordableindustrytraining.com.au,418785677,0732636457,Ms. Natasha Vinter,RTO Manager,admin@affordableindustrytraining.com.au,0732636457,Ms. Natasha Vinter,RTO Manager,admin@affordableindustrytraining.com.au,0732636457,,
31663,Cornzal Pty Ltd,Cornzal Pty Ltd,Current,64103091587.0,103091587.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.cornzal.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,02/04/2008,01/10/2018,29/09/2025,"Level 1 433 Boundary St, SPRING HILL, QLD, 4000",Mr Niraj Shekhawatia,peo@cornzal.rnmc.edu.au,(07)35563801,(07)35563801,Mr Michael Griffiths,RTO Manager,michael.g@cornzal.rnmc.edu.au,(07)35563801,Mr Michael Griffiths,RTO Manager,michael.g@cornzal.rnmc.edu.au,(07)35563801,,
31664,Dickens Assessment and Training Services Pty Ltd,Dickens Assessment and Training Services,Current,29127641758.0,127641758.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.datservices.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,28/04/2008,01/06/2019,17/03/2026,"Unit 1 5-7 Elswick Pl, NORTH BOAMBEE VALLEY, NSW, 2450",Mr Malcolm Alexander Dickens,info@datservices.com.au,0401442248,0401442248,Mrs. Kirralee Eade,Compliance/Quality Assurance,kirra@datservices.com.au,0266529946,Mrs Janelle Elizabeth Brown,Compliance Officer,info@datservices.com.au,0738683486,,
31668,JARRAH BULLA PTY LTD,First Aid Action,Current,15075473106.0,622698953.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.firstaidaction.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,04/04/2008,04/04/2025,03/04/2032,"4 Heritage Ct, NEWPORT, QLD, 4020",Mrs Luella Angela Goudens van den Handel-Stanley,luella@firstaidaction.com.au,0417074003,0739010599,Mrs Luella Angela Goudens van den Handel-Stanley,Director,info@firstaidaction.com.au,0739010599,Mrs Luella Angela Goudens van den Handel-Stanley,Director,info@firstaidaction.com.au,0739010599,,
31673,Electro-Training Institute Pty Ltd,Electro-Training Institute Pty Ltd,Current,21144722501.0,144722501.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.electrotraining.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,06/06/2008,01/06/2019,30/05/2026,"Office 1 50 Tully St, SOUTH TOWNSVILLE, QLD, 4810",Mr. Jeffrey Alan McRobb,jeff@electrotraining.com.au,0407164909,0747244652,Ms. Susan Moore,Enrolments officer,enrol@electrotraining.com.au,0407164909,Mr. Jeffrey Alan McRobb,Chief Executive Officer,jeff@electrotraining.com.au,0747244652,,
31678,HRD Consulting Australasia Pty Ltd,Human Resource Training,Current,68121890917.0,121890917.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.hrtraining.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/02/2008,01/11/2018,31/10/2025,"433 Boundary St, SPRING HILL, QLD, 4000",Mrs Guneet Khurana,ceo@hrt.edu.au,0418655798,0418655798,,,admin@hrt.edu.au,1300003478,Lynda Taylor,Chief Executive Officer,admin@hrt.edu.au,1300003478,,
31685,Smart First Aid Pty Ltd,Intuitive Training;Smart First Aid Pty Ltd,Current,41129017554.0,129017554.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.intuitivetraining.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,20/06/2008,01/06/2019,31/05/2026,"Office 5 9 Cairns St, LOGANHOLME, QLD, 4129",Mr. Stephen Francis Pike,stephen@intuitivetraining.com.au,0405103690,1300800558,Mr Stephen Pike,Director,stephen@intuitivetraining.com.au,1300800558,Mr Stephen Pike,Director,stephen@intuitivetraining.com.au,1300800558,,
31688,Creating Links Pty Ltd,Creating Links,Current,58129024915.0,129024915.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.creatinglinks.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,04/02/2008,04/02/2025,03/02/2032,"5 Central Gr, BROADMEADOWS, VIC, 3047",Mrs. Dima Assaad,ceo@creatinglinks.com.au,0483289514,0483289514,Mrs. Dima Assaad,CEO,ceo@creatinglinks.com.au,0483289514,Mrs. Dima Assaad,CEO,ceo@creatinglinks.com.au,0483289514,,
31690,AUSTRALIAN GLOBAL INSTITUTE PTY LTD,Australian Global Institute Pty Ltd,Current,46121949586.0,121949586.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.agi.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,14/05/2008,30/06/2025,29/06/2032,"2/537 Kessels Road, Macgregor, QLD, 4109",Mr Paul Hunt,principal@agi.edu.au,0401411718,0401411718,Mr Paul Hunt,Director,principal@agi.edu.au,0401411718,Mr Paul Hunt,Director,principal@agi.edu.au,0401411718,,
31701,RAM Training Services Pty Ltd,,Current,50128880348.0,128880348.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.ramtrainingservices.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,06/10/2008,18/02/2022,17/02/2029,"Unit 1301 1 Lake Orr Dr, VARSITY LAKES, QLD, 4227",Mr Chris Jones,chris@ramtrainingservices.com.au,0423324807,1300328500,Ms. Shenoa Gittins,Operations Manager,shenoa@ramtrainingservices.com.au,1300328500,Ms. Shenoa Gittins,Operations Manager,shenoa@ramtrainingservices.com.au,1300328500,,
31702,Queensland Alumina Limited,,Current,98009725044.0,9725044.0,Enterprise - Non-Government,http://www.qal.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/07/2008,01/07/2025,30/06/2032,"Parsons Point, Gladstone, QLD, 4680",Mr. Theunis Louis Mienie,mieniet@qal.com.au,0428890454,0749762394,Mr. Matthew Norman Stewart,Learning & Development Officer,stewartmn@qal.com.au,0749717140,Mr. Matthew Norman Stewart,Learning & Development Officer,stewartmn@qal.com.au,0749717140,,
31707,Auswright Training Pty Ltd,First Choice College;First Choice Training,Current,70146237096.0,146237096.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.fcc.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,29/05/2008,01/06/2019,31/05/2026,"Level 10 50 Cavill Ave, SURFERS PARADISE, QLD, 4217",Ms Sarah Jane Bray,sarah@fcc.edu.au,,0408866128,Mr. Ian Wright,Administration,rto@fcc.edu.au,0756895060,Mr. Ian Wright,CEO,ian@fcc.edu.au,0756895060,,
31709,Australian Consulting & Training Solutions Pty Ltd,Academy Hospitality Australia;Zealifi,Current,66129799408.0,129799408.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.zealifi.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,24/07/2008,01/06/2019,30/05/2026,"2628 Moggill Rd, PINJARRA HILLS, QLD, 4069",Mr Ian Paul Griffin,ian@zealifi.com.au,0423153355,0738014131,Mr. Ian Griffin,Director of Training,hello@zealifi.com.au,1300122287,Mr. Ian Griffin,Director of Training,hello@zealifi.com.au,1300122287,,
31713,Queensland National Ballet School Pty Ltd,Queensland National Ballet;Queensland National Ballet School,Current,22602016526.0,602016526.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.qldnationalballet.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,12/03/2009,12/03/2019,11/03/2026,"57 Hayward St, STAFFORD, QLD, 4053",Mr. Martyn Fleming,qldnationalb@yahoo.com.au,0415951077,0415951077,Mr. Martyn Fleming,Managing Director,qldnationalb@yahoo.com.au,0415951077,Mr. Martyn Fleming,Managing Director,qldnationalb@yahoo.com.au,0415951077,,
31714,Enterprise Management Group Pty Ltd,MY PATHWAY,Current,54123371022.0,123371022.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.mypathway.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,20/08/2008,17/04/2024,16/04/2031,"130-132 Mcleod St, CAIRNS CITY, QLD, 4870",Mrs Nicole Oke,nicole@mypathway.com.au,,740333444,Ms Lydia DuBois,Industry Engagement Manager,l.dubois@mypathway.com.au,0428731104,Ms Lydia DuBois,Industry Engagement Manager,l.dubois@mypathway.com.au,0428731104,,
31716,Australian Academy Pty Ltd,,Current,86111076218.0,111076218.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.australianacademy.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,23/12/2008,23/12/2018,22/12/2025,"Unit 32 207 Currumburra Rd, ASHMORE, QLD, 4214",Ms Erica Lang,ceo@australianacademy.edu.au,0429009732,+61429009732,Ms. Erica Lang,RTO Manager,info@australianacademy.edu.au,1300656693,Ms. Erica Lang,RTO Manager,rtomanager@australianacademy.edu.au,1300656693,,
31718,Asset Training Australia Pty Ltd,Asset College;Asset Training Australia,Current,80118083971.0,118083971.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.asset.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/09/2008,01/09/2018,31/08/2025,"18 Flinders Pde, NORTH LAKES, QLD, 4509",Mr Mark Costello,mark@asset.edu.au,0401963554,0734822758,,,study@asset.edu.au,1300731602,Mr Mark Costello,Director,mark@asset.edu.au,0734822758,,
31729,Australian Pacific Services Pty Ltd,Training Tailor Made,Current,29104039956.0,104039956.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.trainingtailormade.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,25/07/2008,01/08/2025,31/07/2032,"33-47 Hollywell Rd, (Above Dominos Pizza) Metro Market Shopping Centre, BIGGERA WATERS, QLD, 4216",Mr Anthony Luxford,tony@trainingtailormade.com.au,0421630665,0755374239,Mrs. Pauline Luxford,Administrator,pauline@trainingtailormade.com.au,0755374239,Mr Anthony Graham Luxford,Director,tony@trainingtailormade.com.au,0755374239,,
31730,Cambridge Academy of English Pty Ltd,CAMBRIDGE COLLEGE AUSTRALIA;TradeTech Australia,Current,86077189550.0,77189550.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.cambridgeqld.com,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,04/07/2008,01/06/2019,31/05/2026,"Office 1 Level 5 269 Wickham St, FORTITUDE VALLEY, QLD, 4006",Miss Huei Jyuan Wang,ellen.wang@cambridgeqld.com,0452287874,0452287874,Mr Adam Degen,General enquiries,enrol@cambridgecollege.edu.au,0732115794,Mr Adam Degen,Registration enquiries,enrol@cambridgecollege.edu.au,0732115794,,
31731,Amethyst Training Pty Ltd,Australian Consolidated Training,Current,72130359474.0,130359474.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.actassess.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,26/08/2008,01/11/2018,31/10/2025,"36 Serrata Cct, FOREST LAKE, QLD, 4078",Ms Christine Anne Vanohr,christine@actassess.com.au,0439716998,0733723974,,,admin@actassess.com.au,0733723974,Mrs. Christine Vanohr,Managing Director,christine@actassess.com.au,0733723974,,
31733,Evolution Training and Safety Pty Ltd,Evolution Training & Safety Pty Ltd;Evolution Training Solutions;t4 training,Current,69130554228.0,130554228.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.evolutiontraining.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,15/07/2008,01/06/2019,31/05/2026,"9 Grenier Dr, ARCHERFIELD, QLD, 4108",Ms Marilyn Penelope Susan Andre,marilyn@aviatagroup.com.au,0403711686,0403711686,,,training@evolutiontraining.edu.au,0736236461,Ms Marilyn Penelope Susan Andre,CEO,marilyn@aviatagroup.com.au,0403711686,,
31735,Logisafe Pty Ltd,Logisafe,Current,99003895921.0,3895921.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.logisafe.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,23/07/2008,01/06/2019,31/05/2026,"24 Pleasant Dr, SHARON, QLD, 4670",Mr Christopher John Grant,john@logisafe.com.au,0409396839,0741960874,Mrs. Brenda Ellen Grant,Enquiries Officer,admin@logisafe.com.au,0411471600,Mrs. Brenda Ellen Grant,Enquiries Officer,admin@logisafe.com.au,0411471600,,
31736,Malekhu Investments Pty Ltd,Q Learning;Queensford College,Current,17129064437.0,129064437.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,https://queensford.edu.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,17/07/2008,01/11/2018,31/10/2025,"Level 2, 359 Queen St, Brisbane City, QLD, 4000",Mr Bikash Bhandari,b.bhandari@queensford.edu.au,0402627529,0732211626,Mr Bikash Bhandari,CEO,b.bhandari@queensford.edu.au,0732211626,Mr Rupesh Pathak,Head of Operation,r.pathak@queensford.edu.au,0732211626,,
31741,Jasmarc Pty Ltd,TRAINING & SAFETY SOLUTIONS,Current,81130086976.0,130086976.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.tss.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,24/11/2008,01/06/2019,31/05/2026,"6 Yoga Way, SPRINGFIELD CENTRAL, QLD, 4300",Mr Carlo Scasserra,carlo.scasserra@mtctrains.com.au,0459839296,0459839296,Mr Kevin Barnes,RTO Manager,kevin.barnes@tss.edu.au,0468921505,Mr Kevin Barnes,RTO Manager,kevin.barnes@tss.edu.au,0468921505,,
31745,Barclay Thomas Training Group Pty Ltd,BARCLAY THOMAS TRAINING GROUP;PERFORM TRAINING,Current,20132317394.0,132317394.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,https://performtraining.com.au/,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,12/09/2008,01/06/2019,30/05/2026,"Unit 4 15 Josephine St, LOGANHOLME, QLD, 4129",Mr Grant Mills,admin@performtraining.com.au,0432969070,0755730216,Mr Grant Mills,Director/CEO,admin@performtraining.com.au,0755730216,Mr Grant Mills,Director/CEO,admin@performtraining.com.au,0755730216,,
31748,Beauty Therapy Training Australia Pty Ltd,BEAUTY THERAPY TRAINING AUSTRALIA;TECH EDGE COLLEGE,Current,80105325639.0,105325639.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.techedgecollege.com.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,29/08/2008,01/06/2019,26/02/2026,"39/269 Wickham St, FORTITUDE VALLEY, QLD, 4006",Madiha Mohammed,maddie@techedgecollege.com.au,0407690141,0407690141,Madiha Mohammed,VET,maddie@techedgecollege.com.au,0407690141,Madiha Mohammed,OWNER,maddie@techedgecollege.com.au,0407690141,,
31750,NK Institute Pty Ltd,,Current,63111840334.0,111840334.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.icnek.com,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,23/12/2008,01/06/2019,31/05/2026,"1238 Urliup Rd, Urliup, NSW, 2484",Ms. Kerrie McFarlane,kerriemcfarlane@gmail.com,0407703578,97512804,Ms. Kerrie McFarlane,Chief Executive Officer,kerriemcfarlane@gmail.com,97512804,Ms. Kerrie McFarlane,Chief Executive Officer,kerriemcfarlane@gmail.com,97512804,,
31760,Mossman State High School,Mossman State High School,Current,22740782724.0,,School - Government,http://www.mosmanshs.eq.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,03/06/2008,01/01/2024,31/12/2029,"42-62 Front Street, Mossman, QLD, 4873",Mr Kenneth Schaumberg,kjsch0@eq.edu.au,0740841333,0740841333,Mr Stephen Guthrie,Deputy Principal,sguth3@eq.edu.au,0748041333,Ms. Leanne Stollery,RTO Manager,lstol3@eq.edu.au,(07)40841333,,
31766,King's Institute of Management and Technology Pty Ltd,King's Institute of Management and Technology,Current,54130306295.0,130306295.0,Education/training Business Or Centre: Privately Operated Registered Training Organisation,http://www.kimt.edu.au,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,04/11/2008,04/11/2018,03/11/2025,"Level 2 333 Adelaide St, BRISBANE CITY, QLD, 4000",Mr Deepinder Basra,deepinder@kimt.edu.au,0733922920,0733922920,Mr Deepinder Basra,CEO/PEO,deepinder@kimt.edu.au,0733922920,Mr Deepinder Basra,PEO,deepinder@kimt.edu.au,0733922920,,
